Abombwe	6	Incarnate Darkness	192
Animalism	6	Animal Succulence	194
Animalism	6	The Twin Souls	194
Animalism	6	The Tongue of Beasts	194
Animalism	7	Beast Shard	194
Animalism	7	The Devil’s Claws	195
Animalism	8	The Beast’s Quills	195
Animalism	9	Plague of Beasts	195
Auspex	6	Far Sense	199
Auspex	6	The Heart’s Desire	199
Auspex	6	Soul Bond	199
Auspex	7	Anticipate Victory	200
Auspex	7	Brutal Ecstasy	200
Auspex	7	A Gathering of Souls	200
Auspex	8	Omniscience	200
Auspex	8	Soul’s Sword	200
Auspex	9	False Slumber	201
Bardo	6	Boon of Anubis	203
Celerity	6	Momentum	203
Celerity	6	Precision	203
Celerity	6	Projectile	203
Celerity	7	Flower of Death	203
Celerity	7	Quickness	204
Celerity	8	Physical Defiance	204
Celerity	8	Time Out of Time	204
Chimerstry	6	Fatuus Mastery	206
Chimerstry	6	Shared Nightmare	207
Chimerstry	7	Blade of the Demons	207
Chimerstry	7	Far Fatuus	207
Chimerstry	7	Interrupt Reality	207
Chimerstry	8	Visions from the Asura	207
Chimerstry	8	Synesthesia	208
Chimerstry	9	Fabrication	208
Daimoinon	6	Hell-Born Investiture	211
Daimoinon	6	Lure Diabolik	211
Daimoinon	7	Bring the Plague	211
Daimoinon	7	Demonic Servitor	212
Daimoinon	8	Call Forth the Herald of Hell	212
Daimoinon	8	Adramelech’s Wrath	213
Daimoinon	9	Spew Wide the Pit	213
Dementation	6	The Call	216
Dementation	6	Stain the Soul	217
Dementation	7	Cobble the Road	217
Dementation	7	The Sword of Malkav	217
Dementation	8	Prison of the Mind	218
Dementation	9	Brother’s Gift	218
Dominate	6	Chain the Psyche	221
Dominate	6	Obedience	221
Dominate	6	Loyalty	221
Dominate	7	Mass Manipulation	221
Dominate	7	Still the Mortal Flesh	221
Dominate	8	Far Mastery	221
Dominate	9	Speak Through the Blood	221
Fortitude	6	The Knight’s Bane	222
Fortitude	7	The Blessing of Vitality	222
Fortitude	8	Armored Flesh	223
Mytherceria	6	Steal the Mind	224
Obfuscate	6	Mask the Devil	228
Obfuscate	7	Fortress of Silence	228
Obfuscate	8	Reaper of the Heart	228
Obfuscate	9	Obscure God’s Creation	228
Obtenebration	6	The Darkness Within	231
Obtenebration	6	Walk the Abyss	231
Obtenebration	7	Shadow Twin	231
Obtenebration	8	Oubliette	232
Obtenebration	9	Ahriman’s Demesne	232
Potence	6	Crush	236
Potence	7	Brutality	236
Potence	8	Aftershock	236
Presence	6	Kingmaker	239
Presence	6	Love	239
Presence	6	Paralyzing Glance	239
Presence	6	Spark of Rage	240
Presence	7	Cooperation	240
Presence	8	Ironclad Command	240
Presence	9	Pulse of the People	240
Protean	6	Adaptation	243
Protean	6	Earth Control	243
Protean	6	Ephemeral Slumber	243
Protean	6	Flesh of Marble	243
Protean	6	Loki’s Gift	243
Protean	6	Reversion to the True Form	244
Protean	7	Death’s Hidden Crawl	244
Protean	7	Shape of the Beast’s Wrath	244
Protean	7	Spectral Body	244
Protean	8	Purify the Impaled Breast	244
Protean	9	Draught of Phoenix Blood	244
Quietus	6	Taste of Death	248
Quietus	7	Rapturous Touch	248
Quietus	8	Blood of Destruction	248
Quietus	9	Weaken the Blood of Ancients	248
Quietus	6	Blood Awakening	251
Quietus	7	Dam the Heart’s River	252
Quietus	8	Songs of Distant Vitae	252
Quietus	9	Condemn the Sins of the Father	252
Serpentis	8	Cerberus’s Fury	255
Serpentis	9	Godhead	255
Serpentis	6	Echidna’s Venom	255
Serpentis	7	Form of the Storm	255
Spiritus	6	The Spirit Beast	257
Temporis	6	Kiss of Lachesis	259
Temporis	7	Cheat the Fates	259
Temporis	8	Clio’s Kiss	260
Valeren	6	Father’s Judgment	262
Valeren	7	Blissful Gaze	262
Valeren	8	Rayzeel’s Song	262
Valeren	9	Heaven’s Gate	263
Valeren	6	Samiel’s Vengeance	265
Valeren	7	Dream Combat	265
Valeren	8	Fiery Agony	266
Valeren	9	Song of the Blooded	266
Valeren	6	Safe Passage	267
Valeren	7	Aversion	267
Valeren	8	Purification	268
Valeren	9	Soul Exchange	268
Vicissitude	6	Chiropteran Marauder	271
Vicissitude	7	Blood of the Earth	271
Vicissitude	8	Sublimation of the Larval Flesh	271
Vicissitude	9	The Last Dracul	271
