Abyss Mysticism	1	Eyes of the Abyss
Abyss Mysticism	1	Light within Shadow
Abyss Mysticism	1	Locating the Oubliette
Abyss Mysticism	1	Pierce the Veil
Abyss Mysticism	1	The Abyss Knows
Abyss Mysticism	1	Weight of Shadows
Abyss Mysticism	2	Abyssal Blade
Abyss Mysticism	2	Comforting Darkness
Abyss Mysticism	2	Feed the Darkness
Abyss Mysticism	2	Implant the Bezoar
Abyss Mysticism	2	Subsume the Darkness
Abyss Mysticism	3	Abyssal Threads
Abyss Mysticism	3	Angra Mainyu Consumes Spenta Mainyu
Abyss Mysticism	3	Balthazar’s Revelation
Abyss Mysticism	3	Calling the Hungry Shade
Abyss Mysticism	3	Claiming the Dark
Abyss Mysticism	3	One with the Dark
Abyss Mysticism	3	Summoning the Blatherskites
Abyss Mysticism	3	The Third Eye of Rickard Argentis
Abyss Mysticism	4	Boukephos’ Gateway
Abyss Mysticism	4	Lord Aludian’s Orifices
Abyss Mysticism	4	Maw of Ahriman
Abyss Mysticism	4	Reflections of Hollow Revelation
Abyss Mysticism	4	Vision of Shadow
Abyss Mysticism	5	Ahriman’s Wight
Abyss Mysticism	5	Beckon the Ingurgitant
Abyss Mysticism	5	Commune with the Abyss
Abyss Mysticism	5	Rickard Argentis’s Homunculus
Abyss Mysticism	5	Whispers in the Dark
Abyss Mysticism	6	Into the Chasm
Abyss Mysticism	7	Evocation of the Oubliette
Abyss Mysticism	8	Cry That Slays the Light
Abyss Mysticism	8	Lord Aludian’s Claim
Abyss Mysticism	9	Boukephos’ Chosen Oubliette
Assamite Sorcery	1	Horoscope
Assamite Sorcery	1	Rite of Reclamation
Assamite Sorcery	1	Ritual of Return
Assamite Sorcery	1	Strength of Haqim
Assamite Sorcery	1	Tame the Maddening Flame
Assamite Sorcery	2	Banning Rituals
Assamite Sorcery	2	Blade of Smoke and Shadow
Assamite Sorcery	2	Blood Calls to Blood
Assamite Sorcery	2	Infusion of Kalif
Assamite Sorcery	3	A Shield of Mirror
Assamite Sorcery	3	Blood and Bane
Assamite Sorcery	3	Bound by Oath
Assamite Sorcery	3	Bull of Heaven
Assamite Sorcery	3	Strength in Wisdom
Assamite Sorcery	3	Wield the Spear of Damnation
Assamite Sorcery	4	Directing Ahriman’s Lance
Assamite Sorcery	4	Rebirth in the Light of Haqim
Assamite Sorcery	5	From Marduk’s Throat
Assamite Sorcery	5	Occlude the Western Road
Assamite Sorcery	5	Ravening Walls of Ceoris
Assamite Sorcery	5	Seeing With the Sky’s Eyes
Koldunic Sorcery	1	Drinking Death
Koldunic Sorcery	1	Master of the Domain
Koldunic Sorcery	1	Reawakening the Dead Water
Koldunic Sorcery	1	Servitor’s Perception
Koldunic Sorcery	1	Treasured Ornaments
Koldunic Sorcery	1	Truth in Water
Koldunic Sorcery	1	Unnatural Decay
Koldunic Sorcery	2	Autumn’s Armor
Koldunic Sorcery	2	Borne by Wind
Koldunic Sorcery	2	Concentrated Vitae
Koldunic Sorcery	2	Eyes of the Dead
Koldunic Sorcery	2	Invoke the Lesser Sign of Power
Koldunic Sorcery	3	Animate Curios
Koldunic Sorcery	3	Cowing the Servant
Koldunic Sorcery	3	One with the Forest
Koldunic Sorcery	3	The Floating Dead
Koldunic Sorcery	4	Evoke the Storm
Koldunic Sorcery	4	Scrying Pool
Koldunic Sorcery	4	Ties That Bind
Koldunic Sorcery	5	The Inmost Tug
Necromancy	1	Call of the Hungry Dead
Necromancy	1	Death’s Communion
Necromancy	1	Eldritch Beacon
Necromancy	1	Final Sight
Necromancy	1	Foxfire
Necromancy	1	Insight
Necromancy	1	Knowing Stone
Necromancy	1	Memento Mori
Necromancy	1	Minestra di Morte
Necromancy	1	Preserve Corpse
Necromancy	1	Ritual of the Smoking Mirror
Necromancy	1	Shew-Stone
Necromancy	1	Word of Insight
Necromancy	2	Antonius’s Denial
Necromancy	2	Draining the Well of Life
Necromancy	2	Eyes of the Grave
Necromancy	2	Generation of the Acheron Vortex
Necromancy	2	Haunting Breeze
Necromancy	2	Occhio d’Uomo Morto
Necromancy	2	Parting the Veil
Necromancy	2	Prepare the Vessel
Necromancy	2	Puppet
Necromancy	2	Thanatos’ Caress
Necromancy	2	The Hand of Glory
Necromancy	2	The Ritual of Pochtli
Necromancy	2	Totenpass
Necromancy	2	Two Centimes
Necromancy	2	Witch Eye
Necromancy	3	Blood Dance
Necromancy	3	Death’s Head
Necromancy	3	Din of the Damned
Necromancy	3	Divine Sign
Necromancy	3	Nightmare Drums
Necromancy	3	Ritual of The Unearthed Fetter
Necromancy	3	Tempest Prison
Necromancy	3	Tempesta Scudo
Necromancy	4	Baleful Doll
Necromancy	4	Bastone Diabolico
Necromancy	4	Cadaver’s Touch
Necromancy	4	Impregnable Soul
Necromancy	4	Peek Past the Shroud
Necromancy	4	Point of the Needle
Necromancy	4	Ritual of Xipe Totec
Necromancy	4	Summon Ethereal Horde
Necromancy	4	Vision of St. Anthony
Necromancy	5	Chill of Oblivion
Necromancy	5	Dead Man’s Hand
Necromancy	5	Enochian Passage
Necromancy	5	Esilio
Necromancy	5	Grasp the Ghostly
Necromancy	5	Orphic Sojourn
Necromancy	5	The Ferryman’s Recall
Necromancy	5	Treasures of Hades
Setite Sorcery	1	Armor of Diamond Serenity
Setite Sorcery	1	The Word of the Dark God
Setite Sorcery	1	Typhon’s Brew
Setite Sorcery	2	Craft Gris-Gris
Setite Sorcery	2	To Lace with Hidden Nectar
Setite Sorcery	3	Rings Like Chains
Setite Sorcery	3	Scorpion Sending
Setite Sorcery	4	Dismemberment of Osiris
Setite Sorcery	5	Creation of the Shabti
Setite Sorcery	5	Shackles of Blood
Thaumaturgy	1	Ambrus Kelemen’s Aegis
Thaumaturgy	1	Bind the Accusing Tongue
Thaumaturgy	1	Blood Mastery
Thaumaturgy	1	Blood Rush
Thaumaturgy	1	Blood into Water
Thaumaturgy	1	Brand
Thaumaturgy	1	CCTV
Thaumaturgy	1	Calling Card
Thaumaturgy	1	Chime of Unseen Spirits
Thaumaturgy	1	Communicate with Kindred Sire
Thaumaturgy	1	Defense of the Sacred Haven
Thaumaturgy	1	Deflection of Wooden Doom
Thaumaturgy	1	Devil’s Touch
Thaumaturgy	1	Domino of Life
Thaumaturgy	1	Encrypt Missive
Thaumaturgy	1	Engaging the Vessel of Transference
Thaumaturgy	1	Flatline
Thaumaturgy	1	Illuminate the Trail of Prey
Thaumaturgy	1	Impressive Visage
Thaumaturgy	1	Incantation of the Shepherd
Thaumaturgy	1	Learning the Mind Enslumbered
Thaumaturgy	1	Purify Blood
Thaumaturgy	1	Purity of Flesh
Thaumaturgy	1	Rite of Introduction
