Animalism	6	Animal Succulence	140
Animalism	6	Shared Soul	141
Animalism	6	Species Speech	141
Animalism	7	Conquer the Beast	141
Animalism	8	Taunt the Caged Beast	141
Animalism	9	Unchain the Beast	142
Auspex	6	Clairvoyance	147
Auspex	6	Prediction	147
Auspex	6	Telepathic Communication	147
Auspex	7	Karmic Sight	148
Auspex	7	Mirror Reflex	149
Auspex	8	Psychic Assault	149
Auspex	9	False Slumber	149
Celerity	6	Projectile	151
Celerity	7	Flower of Death	151
Celerity	8	Zephyr	152
Chimerstry	6	False Resonance	153
Chimerstry	6	Fatuus Mastery	154
Chimerstry	6	Shared Nightmare	154
Chimerstry	7	Far Fatuus	154
Chimerstry	7	Suspension of Disbelief	154
Chimerstry	8	Synesthesia	154
Chimerstry	9	Mayaparisatya	155
Dementation	6	Lingering Malaise	158
Dementation	6	Shattered Mirror	158
Dementation	7	Restructure	158
Dementation	8	Personal Scourge	159
Dementation	9	Lunatic Eruption	159
Dominate	6	Chain the Psyche	164
Dominate	6	Loyalty	164
Dominate	6	Obedience	164
Dominate	7	Mass Manipulation	164
Dominate	7	Still the Mortal Flesh	164
Dominate	8	Far Mastery	165
Dominate	9	Speak Through the Blood	165
Fortitude	6	Personal Armor	167
Fortitude	7	Shared Strength	167
Fortitude	8	Adamantine	167
Obfuscate	6	Conceal	194
Obfuscate	6	Mind Blank	194
Obfuscate	6	Soul Mask	195
Obfuscate	7	Cache	195
Obfuscate	7	Veil of Blissful Ignorance	195
Obfuscate	8	Old Friend	195
Obfuscate	9	Create Name	196
Obtenebration	6	The Darkness Within	199
Obtenebration	6	Shadowstep	199
Obtenebration	7	Shadow Twin	199
Obtenebration	8	Oubliette	200
Obtenebration	9	Ahriman’s Demesne	200
Potence	6	Imprint	200
Potence	7	Earthshock	201
Potence	8	Flick	201
Presence	6	Love	204
Presence	6	Paralyzing Glance	204
Presence	6	Spark of Rage	205
Presence	7	Cooperation	206
Presence	8	Ironclad Command	206
Presence	9	Pulse of the City	206
Protean	6	Earth Control	208
Protean	6	Flesh of Marble	209
Protean	7	Restore the Mortal Visage	209
Protean	7	Shape of the Beast’s Wrath	210
Protean	7	Spectral Body	210
Protean	8	Purify the Impaled Beast	211
Protean	9	Inward Focus	211
Quietus	6	Blood Sweat	213
Quietus	6	Selective Silence	214
Quietus	6	Ripples of the Heart	214
Quietus	6	Purification	215
Quietus	7	Baal’s Bloody Talons	215
Quietus	7	Poison the Well of Life	215
Quietus	8	Songs of Distant Vitae	216
Quietus	9	Condemn the Sins of the Father	217
Serpentis	6	Cobra Fangs	219
Serpentis	7	Divine Image	219
Serpentis	8	Heart Thief	219
Serpentis	9	Shadow of Apep	220
Vicissitude	6	Chiropteran Marauder	250
Vicissitude	6	Blood of Acid	251
Vicissitude	7	Cocoon	251
Vicissitude	8	Breath of the Dragon	251
Vicissitude	9	Earth’s Vast Haven	251
Bardo	6	Boon of Anubis	452
Bardo	7	Bring Forth the Dawn	452
Bardo	8	Mummification	452
Bardo	9	Ra’s Blessing	452
Daimoinon	6	Concordance	454
Daimoinon	7	Summon the Herald of Topheth	454
Daimoinon	8	Contagion	455
Daimoinon	9	Call the Great Beast	455
Melpominee	6	Shattering Crescendo	462
Melpominee	7	Persistent Echo	462
Mytherceria	6	Steal the Mind	464
Mytherceria	7	Absorb the Mind	464
Mytherceria	8	The Grandest Trick	465
Obeah	6	Unburdening the Bestial Soul	467
Obeah	7	Renewed Vigor	468
Obeah	8	Safe Passage	468
Obeah	9	Unburden the Flesh-Clad Soul	469
Ogham	6	Inscribe the Forgotten Names	471
Temporis	6	Kiss of Lachesis	477
Temporis	7	Cheat the Fates	477
Temporis	8	Clio’s Kiss	478
Temporis	9	Tangle Atropos’ Hand	479
Thanatosis	6	Creeping Infection	481
Thanatosis	7	Dust to Dust	481
Thanatosis	8	Putrescent Servitude	481
Valeren	6	Blissful Agony	483
